DOB,Username,Money Available,Last Name,Password,Role,ID,First Name,Flights Purchased,MinerAirlines Membership
11/6/74,brandoncartwrightli,331.85,CartwrightLi,Fun!23,Employee,47,Brandon,0,TRUE
3/16/75,stitchdisney,684.07,Disney,Fun!23,Customer,36,Stitch,0,FALSE
4/14/75,cruellade vil,1979.49,De Vil,Fun!23,Customer,22,Cruella,0,TRUE
5/31/75,dianavalles,2877.02,Valles,Fun!23,Employee,39,Diana,0,TRUE
11/11/75,alexisacosta,1685.98,Acosta,Fun!23,Employee,42,Alexis,0,FALSE
8/9/76,simbaking,1562.93,King,Fun!23,Customer,24,Simba,0,FALSE
10/28/78,minniemouse,1119.65,Mouse,Fun!23,Customer,3,Minnie,0,FALSE
11/19/78,lilodisney,2077.01,Disney,Fun!23,Customer,35,Lilo,0,FALSE
2/21/81,evilqueen,2707.11,Queen,Fun!23,Customer,29,Evil,0,TRUE
4/9/81,sonamtshering,1493.07,Tshering,Fun!23,Employee,83,Sonam,0,TRUE
6/12/83,omarhoang,3031.3,Hoang,Fun!23,Employee,54,Omar,0,FALSE
2/9/87,princeeric,2826,Eric,Fun!23,Customer,31,Prince,0,TRUE
3/31/89,captaiinhook,2952.78,Hook,Fun!23,Customer,27,Captaiin,0,TRUE
3/16/90,alexwatson,695.89,Watson,Fun!23,Employee,90,Alex,0,TRUE
5/12/92,alejandroolivas,1108.86,Olivas,Fun!23,Employee,63,Alejandro,0,TRUE
2/10/93,rubencarmonamedrano,2272.19,CarmonaMedrano,Fun!23,Employee,46,Ruben,0,TRUE
6/2/93,donaldduck,1234.96,Duck,Fun!23,Customer,2,Donald,0,FALSE
2/17/94,mickeymouse,2845.01,Mouse,Fun!23,Customer,1,Mickey,0,TRUE
10/3/94,gabrielasigalaacosta,1914.31,SigalaAcosta,Fun!23,Employee,80,Gabriela,0,FALSE
4/10/95,cinderelladisney,1726.76,Disney,Fun!23,Customer,8,Cinderella,0,FALSE
11/18/95,buzzlightyear,2816.17,Lightyear,Fun!23,Customer,17,Buzz,0,TRUE
2/2/96,marcdriver,218.38,Driver,Fun!23,Employee,51,Marc,0,FALSE
9/3/98,samuelramossanchez,1325.88,RamosSanchez,Fun!23,Employee,66,Samuel,0,FALSE
